주소,행정동,위도,경도,제한속도
서울특별시 강서구 양천로 13,방화1동,37.5736843543526,126.805697229466,30
서울특별시 강서구 방화대로34길 43,방화1동,37.5704610944881,126.81851983357,30
서울특별시 강서구 까치산로10길 73,화곡본동,37.5408802857266,126.847848951061,30
서울특별시 강서구 양천로73길 5,염창동,37.5518948197226,126.871513395975,30
서울특별시 강서구 곰달래로31다길 17,화곡2동,37.533588496172,126.852248628145,30
서울특별시 강서구 강서로46길 23,우장산동,37.5508825455676,126.838164214765,30
서울특별시 강서구 등촌로13자길 47,화곡4동,37.5377319773079,126.855421566488,30
서울특별시 강서구 가로공원로76길 56,화곡1동,37.5345343516043,126.837818487511,30
서울특별시 강서구 강서로56나길 34,등촌3동,37.560894450375,126.842382226829,30
서울특별시 강서구 등촌로39길 50,등촌2동,37.5466389179236,126.860232108899,30
서울특별시 강서구 양천로 623,염창동,37.5544829133274,126.867258671678,50
서울특별시 강서구 염창동 272-28,염창동,37.5512994254885,126.867424675484,30
서울특별시 강서구 강서로47길 108,발산1동,37.553565372328,126.830534237555,30
서울특별시 강서구 마곡중앙8로1길 16,가양1동,37.5625313259629,126.836252243944,30
서울특별시 강서구 마곡중앙10로 30,가양1동,37.5634030851051,126.831230342853,30
서울특별시 강서구 양천로67길 77,염창동,37.5555306126451,126.870357991031,30
서울특별시 강서구 강서로 132,화곡본동,37.5389266187197,126.842601143557,50
서울특별시 강서구 공항대로 591,염창동,37.548074493195,126.870847770623,50
서울특별시 강서구 방화동 839,방화3동,37.5747821264629,126.818960346599,30
서울특별시 강서구 마곡동 746-3,공항동,37.5585341486073,126.821876873156,30
서울특별시 강서구 수명로1길 84,발산1동,37.5527726671834,126.823879421286,30
서울특별시 강서구 허준로 209,가양3동,37.5617389790038,126.861591526374,30
서울특별시 강서구 공항대로 484-23,등촌2동,37.552266949351,126.860874921007,50
서울특별시 강서구 허준로 109,가양2동,37.5670047685109,126.85259398539,30
서울특별시 강서구 강서로 532,가양1동,37.5712750358337,126.842277493004,50
서울특별시 강서구 가로공원로76길 55,화곡1동,37.5346513496923,126.83811636281,30
서울특별시 강서구 양천로 22,방화2동,37.572270024754,126.806001672732,30
서울특별시 강서구 방화대로 319,방화1동,37.5691581356766,126.816286169261,50
서울특별시 강서구 화곡로 274,화곡6동,37.5488379962383,126.847501435204,50
서울특별시 강서구 화곡로 163,화곡3동,37.541753080164,126.839674621599,50
서울특별시 강서구 강서로 323,발산1동,37.5546704615225,126.836553620481,50
서울특별시 강서구 공항대로41길 75,등촌3동,37.5611486390411,126.846360147398,30
서울특별시 강서구 공항대로 491,등촌1동,37.5536476529209,126.862425846537,50
서울특별시 강서구 양천로49길 26,가양1동,37.5699024010714,126.840890011925,30
서울특별시 강서구 금낭화로 44,방화2동,37.5693252325102,126.811857149,30
서울특별시 강서구 금낭화로 37,방화2동,37.5687174951533,126.8115077785,30
서울특별시 강서구 염창동 102-1,염창동,37.5549477271119,126.873991725837,80
서울특별시 강서구 염창동 102-1,염창동,37.5549477271119,126.873991725837,80
