gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,occyp_type,family_size,begin_month,credit,credit_card_count,before_EMPLOYED_year,Age,DAYS_BIRTH_month,EMPLOYED,begin_year,cluster
F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,12752,433,Accountants,4.0,19.0,2.0,5,33,34,5.0,1,1.0,2
M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,9943,554,Managers,3.0,35.0,1.0,13,25,27,7.0,1,2.0,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,9963,1876,Sales staff,2.0,8.0,1.0,5,22,27,8.0,5,0.0,0
M,N,N,0,247500.0,Working,Higher education,Civil marriage,House / apartment,15125,199,Drivers,2.0,26.0,2.0,4,40,41,0.0,0,2.0,2
M,Y,N,0,405000.0,Working,Higher education,Married,House / apartment,18655,3200,High skill tech staff,2.0,4.0,1.0,4,42,51,9.0,8,0.0,1
F,Y,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,18409,3482,Sales staff,2.0,48.0,2.0,5,40,50,1.0,9,4.0,1
F,Y,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,13951,1101,Sales staff,3.0,4.0,2.0,4,35,38,9.0,3,0.0,2
M,Y,Y,0,495000.0,Working,Incomplete higher,Married,With parents,8917,1101,Drivers,2.0,10.0,2.0,3,21,24,9.0,3,0.0,0
F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,13541,3965,Core staff,4.0,42.0,2.0,3,26,37,7.0,10,3.0,0
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,13856,3010,Laborers,2.0,24.0,2.0,6,29,37,5.0,8,2.0,2
F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,16137,9391,Laborers,2.0,29.0,2.0,5,18,44,9.0,25,2.0,3
F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,17031,642,Core staff,1.0,3.0,1.0,15,44,46,3.0,1,0.0,1
M,Y,N,1,270000.0,Commercial associate,Higher education,Married,House / apartment,11373,1371,Managers,3.0,15.0,2.0,3,27,31,7.0,3,1.0,0
F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,17402,3153,Core staff,2.0,40.0,1.0,12,39,47,4.0,8,3.0,2
M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,15586,3337,Managers,2.0,21.0,2.0,5,33,42,3.0,9,1.0,2
M,Y,N,0,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,9047,716,Security staff,1.0,32.0,2.0,2,22,24,1.0,1,2.0,0
F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,12729,4936,Cleaning staff,2.0,10.0,2.0,6,21,34,4.0,13,0.0,0
M,N,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,13761,2783,Laborers,3.0,4.0,1.0,1,30,37,2.0,7,0.0,2
F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,12135,1216,High skill tech staff,4.0,2.0,1.0,12,29,33,8.0,3,0.0,0
F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,10309,1610,Laborers,2.0,14.0,1.0,6,23,28,7.0,4,1.0,0
F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,15462,2969,Medicine staff,2.0,59.0,2.0,4,34,42,11.0,8,4.0,2
M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,9874,1928,Laborers,1.0,39.0,2.0,8,21,27,5.0,5,3.0,0
M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,15904,3787,Laborers,4.0,54.0,2.0,12,33,43,2.0,10,4.0,2
F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,10350,219,Sales staff,3.0,25.0,2.0,1,27,28,9.0,0,2.0,0
F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15653,5500,Core staff,2.0,34.0,2.0,16,27,42,5.0,15,2.0,3
F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,9818,520,Core staff,1.0,7.0,1.0,7,25,26,3.0,1,0.0,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,12690,231,Sales staff,2.0,23.0,1.0,2,34,34,3.0,0,1.0,2
F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,14816,1672,Core staff,2.0,2.0,1.0,12,36,40,1.0,4,0.0,2
F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,17862,212,Laborers,2.0,2.0,1.0,9,48,48,7.0,0,0.0,1
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,10314,962,Sales staff,2.0,0.0,1.0,2,25,28,7.0,2,0.0,0
F,Y,Y,0,216000.0,Working,Higher education,Civil marriage,House / apartment,15274,1423,Accountants,2.0,53.0,2.0,1,37,41,5.0,3,4.0,2
F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,11905,1700,High skill tech staff,4.0,38.0,1.0,4,27,32,0.0,4,3.0,0
M,Y,N,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,18013,1215,Laborers,2.0,41.0,1.0,11,46,49,0.0,3,3.0,1
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,12571,451,Drivers,3.0,45.0,2.0,8,33,34,11.0,1,3.0,2
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,13270,235,Core staff,1.0,56.0,2.0,5,35,36,10.0,0,4.0,2
F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20412,5427,Managers,2.0,45.0,2.0,1,41,55,8.0,14,3.0,1
M,N,N,0,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,14465,4145,Managers,2.0,59.0,2.0,5,28,39,2.0,11,4.0,2
F,N,Y,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,20200,9404,Cleaning staff,2.0,30.0,2.0,2,29,55,1.0,25,2.0,3
F,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,18744,2988,Private service staff,2.0,20.0,2.0,5,43,51,0.0,8,1.0,1
M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12190,691,Laborers,3.0,5.0,2.0,2,31,33,10.0,1,0.0,0
F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19053,3629,High skill tech staff,1.0,22.0,1.0,4,42,52,11.0,9,1.0,1
M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,23674,2087,Security staff,2.0,56.0,2.0,9,59,64,9.0,5,4.0,1
M,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,9373,1212,Drivers,2.0,46.0,2.0,3,22,25,0.0,3,3.0,0
M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,10837,588,Sales staff,1.0,5.0,2.0,9,28,29,1.0,1,0.0,0
F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,19363,12332,Medicine staff,1.0,35.0,2.0,10,19,53,9.0,33,2.0,3
F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,22112,8491,Private service staff,2.0,9.0,2.0,4,37,60,5.0,23,0.0,3
F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,19661,3046,Managers,2.0,2.0,1.0,5,45,53,7.0,8,0.0,1
F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12269,604,Managers,3.0,12.0,2.0,4,31,33,0.0,1,1.0,0
M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,15825,3720,Managers,2.0,12.0,2.0,4,33,43,11.0,10,1.0,2
M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,15994,2537,Sales staff,1.0,7.0,1.0,5,36,43,5.0,6,0.0,2
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,9984,2606,Laborers,2.0,5.0,2.0,5,20,27,8.0,7,0.0,0
F,N,Y,0,153000.0,Working,Higher education,Single / not married,House / apartment,10762,683,Core staff,1.0,22.0,2.0,9,27,29,10.0,1,1.0,0
F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,22811,2234,High skill tech staff,2.0,13.0,2.0,6,56,62,4.0,6,1.0,1
M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,12846,164,Managers,2.0,57.0,2.0,3,34,35,8.0,0,4.0,2
M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,16175,2371,Drivers,3.0,44.0,2.0,3,37,44,11.0,6,3.0,2
F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,17826,201,Laborers,1.0,4.0,2.0,1,48,48,6.0,0,0.0,1
F,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17384,1138,Cooking staff,4.0,36.0,1.0,3,44,47,3.0,3,3.0,1
M,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,11564,2944,Managers,4.0,43.0,2.0,4,23,31,1.0,8,3.0,0
F,Y,Y,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,14317,2751,Managers,3.0,11.0,2.0,1,31,39,9.0,7,0.0,2
F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16173,674,Sales staff,2.0,27.0,2.0,5,42,44,11.0,1,2.0,2
F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,18259,5756,Sales staff,2.0,47.0,2.0,1,34,50,8.0,15,3.0,3
F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,12393,1854,Cooking staff,4.0,0.0,1.0,3,28,33,5.0,5,0.0,0
F,N,N,0,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,16641,9988,Sales staff,2.0,35.0,2.0,9,18,45,2.0,27,2.0,3
F,Y,Y,2,283500.0,State servant,Higher education,Married,House / apartment,12902,4120,Core staff,4.0,39.0,2.0,5,24,35,10.0,11,3.0,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,19431,6226,High skill tech staff,2.0,48.0,2.0,9,36,53,11.0,17,4.0,3
F,Y,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15525,3357,Accountants,4.0,55.0,2.0,4,33,42,1.0,9,4.0,2
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12483,4039,Managers,2.0,42.0,2.0,13,23,34,8.0,11,3.0,0
F,Y,N,1,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,11709,4983,Laborers,2.0,45.0,2.0,5,18,32,6.0,13,3.0,0
M,Y,Y,1,360000.0,Commercial associate,Higher education,Married,House / apartment,16537,410,Laborers,3.0,30.0,2.0,4,44,45,11.0,1,2.0,1
F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,13741,5221,Laborers,3.0,38.0,1.0,7,23,37,2.0,14,3.0,3
M,N,N,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,17537,1749,Laborers,3.0,11.0,2.0,2,43,48,8.0,4,0.0,1
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,Laborers,1.0,1.0,1.0,35,33,42,1.0,8,0.0,2
F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,10559,429,Drivers,2.0,35.0,2.0,8,27,28,3.0,1,2.0,0
F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,13168,2574,Managers,3.0,22.0,2.0,8,29,36,6.0,7,1.0,2
M,Y,N,1,337500.0,Commercial associate,Higher education,Separated,House / apartment,15333,196,Managers,2.0,23.0,1.0,3,41,42,7.0,0,1.0,2
F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,12640,399,Accountants,3.0,29.0,2.0,4,33,34,1.0,1,2.0,2
F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13591,3246,Sales staff,3.0,46.0,2.0,2,28,37,9.0,8,3.0,2
M,Y,Y,1,180000.0,Working,Higher education,Married,With parents,11917,1680,Laborers,3.0,15.0,1.0,7,28,32,1.0,4,1.0,0
F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,10551,3000,Core staff,3.0,12.0,2.0,11,20,28,3.0,8,1.0,0
M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,22456,1934,Managers,2.0,11.0,2.0,1,56,61,4.0,5,0.0,1
F,Y,Y,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13821,1071,Core staff,2.0,45.0,2.0,8,34,37,4.0,2,3.0,2
F,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,19598,11940,Medicine staff,2.0,7.0,2.0,7,20,53,5.0,32,0.0,3
F,N,N,0,247500.0,Working,Higher education,Married,House / apartment,14136,7400,Managers,2.0,6.0,1.0,9,18,38,3.0,20,0.0,3
F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,12681,709,Sales staff,2.0,11.0,1.0,2,32,34,2.0,1,0.0,2
F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,12974,2379,Laborers,4.0,49.0,1.0,11,29,35,0.0,6,4.0,0
F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,11900,2828,Laborers,3.0,41.0,2.0,2,24,32,0.0,7,3.0,0
M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15344,314,Drivers,2.0,33.0,2.0,3,41,42,7.0,0,2.0,2
F,Y,Y,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,10597,574,Medicine staff,1.0,35.0,2.0,3,27,29,5.0,1,2.0,0
M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17975,3476,Drivers,2.0,32.0,1.0,9,39,49,11.0,9,2.0,1
M,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,16728,880,Laborers,2.0,38.0,2.0,3,43,45,5.0,2,3.0,1
M,N,Y,1,202500.0,State servant,Higher education,Married,House / apartment,10756,2355,Core staff,3.0,39.0,2.0,6,23,29,10.0,6,3.0,0
F,Y,Y,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,17136,1266,Sales staff,3.0,11.0,2.0,4,43,46,7.0,3,0.0,1
M,Y,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,13465,839,Managers,4.0,33.0,1.0,3,34,36,4.0,2,2.0,2
F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,16409,2045,Managers,2.0,60.0,2.0,3,39,44,6.0,5,5.0,2
M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,20815,829,Security staff,2.0,3.0,1.0,1,54,57,9.0,2,0.0,1
M,Y,N,0,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15980,119,Drivers,2.0,14.0,2.0,5,43,43,4.0,0,1.0,2
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18173,678,Core staff,3.0,60.0,2.0,9,47,49,5.0,1,5.0,1
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,15499,869,Private service staff,2.0,2.0,1.0,5,40,42,0.0,2,0.0,2
F,N,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,10755,1040,Sales staff,2.0,15.0,2.0,2,26,29,10.0,2,1.0,0
M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,10705,1376,Drivers,2.0,2.0,1.0,1,25,29,8.0,3,0.0,0
F,Y,N,0,315000.0,State servant,Higher education,Married,House / apartment,17940,9957,Managers,2.0,26.0,2.0,2,21,49,10.0,27,2.0,3
M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,16990,2026,Drivers,2.0,19.0,2.0,8,40,46,2.0,5,1.0,2
F,Y,Y,0,720000.0,Commercial associate,Higher education,Separated,House / apartment,20791,4814,Managers,1.0,58.0,2.0,8,43,56,9.0,13,4.0,1
M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Office apartment,15092,995,Drivers,2.0,46.0,2.0,3,38,41,11.0,2,3.0,2
F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,16803,2227,Cleaning staff,1.0,49.0,2.0,4,39,46,8.0,6,4.0,2
F,Y,Y,0,216000.0,Working,Higher education,Married,House / apartment,18529,1809,Secretaries,2.0,10.0,2.0,2,45,50,5.0,4,0.0,1
F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13830,4239,Laborers,3.0,4.0,1.0,4,26,37,5.0,11,0.0,0
M,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16224,2574,Security staff,2.0,22.0,1.0,4,37,44,0.0,7,1.0,2
M,Y,N,1,252000.0,State servant,Higher education,Married,House / apartment,12483,1650,High skill tech staff,3.0,19.0,1.0,5,29,34,8.0,4,1.0,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10981,552,Laborers,2.0,5.0,2.0,2,28,30,6.0,1,0.0,0
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,9889,2289,Managers,2.0,36.0,2.0,1,20,27,5.0,6,3.0,0
M,N,Y,1,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,11524,2554,Sales staff,3.0,49.0,2.0,7,24,31,0.0,6,4.0,0
F,N,Y,2,225000.0,State servant,Secondary / secondary special,Married,House / apartment,13077,5394,Medicine staff,4.0,26.0,1.0,2,21,35,3.0,14,2.0,0
F,N,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,15812,658,Sales staff,4.0,11.0,2.0,4,41,43,11.0,1,0.0,2
M,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,14646,1953,Managers,2.0,3.0,1.0,3,34,40,8.0,5,0.0,2
F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,12322,3717,Core staff,2.0,10.0,1.0,20,23,33,2.0,10,0.0,0
F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,14185,4447,Core staff,2.0,8.0,1.0,3,26,38,4.0,12,0.0,0
M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11613,4031,Laborers,2.0,41.0,2.0,4,20,31,3.0,11,3.0,0
M,N,N,0,382500.0,Working,Secondary / secondary special,Married,Municipal apartment,17254,1207,Managers,2.0,46.0,1.0,1,43,47,11.0,3,3.0,1
F,N,Y,0,171000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,16938,673,Laborers,1.0,28.0,2.0,7,44,46,0.0,1,2.0,1
M,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,11365,2745,Core staff,2.0,48.0,1.0,2,23,31,6.0,7,4.0,0
F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,14407,1345,HR staff,1.0,6.0,2.0,14,35,39,0.0,3,0.0,2
F,N,N,2,112500.0,State servant,Higher education,Married,House / apartment,11604,2721,Core staff,4.0,3.0,1.0,1,24,31,2.0,7,0.0,0
F,N,Y,0,315000.0,Commercial associate,Higher education,Separated,House / apartment,17752,2380,Accountants,1.0,52.0,2.0,8,42,48,3.0,6,4.0,1
M,Y,Y,1,427500.0,Working,Higher education,Married,House / apartment,15085,354,Managers,3.0,3.0,1.0,8,40,41,10.0,0,0.0,2
F,N,N,0,78750.0,Working,Secondary / secondary special,Married,With parents,12104,2045,Security staff,2.0,13.0,2.0,2,27,33,7.0,5,1.0,0
F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,22046,2011,Laborers,2.0,13.0,2.0,4,54,60,2.0,5,1.0,1
F,N,N,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,16898,7310,Core staff,1.0,42.0,2.0,6,26,46,11.0,20,3.0,3
F,Y,N,0,562500.0,Working,Higher education,Married,House / apartment,14654,2836,Managers,2.0,12.0,1.0,10,32,40,8.0,7,1.0,2
F,N,N,1,72000.0,Commercial associate,Higher education,Married,House / apartment,14173,1925,Accountants,3.0,43.0,2.0,1,33,38,4.0,5,3.0,2
M,N,Y,0,144000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,16979,1830,Security staff,2.0,11.0,2.0,3,41,46,1.0,5,0.0,1
F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,21276,1128,Accountants,2.0,17.0,2.0,2,55,58,1.0,3,1.0,1
F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,17573,5792,Managers,2.0,28.0,2.0,5,32,48,9.0,15,2.0,3
F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,12621,1327,Managers,4.0,50.0,2.0,8,30,34,0.0,3,4.0,0
M,N,Y,0,292500.0,Commercial associate,Higher education,Single / not married,Rented apartment,9990,1221,Sales staff,1.0,7.0,1.0,7,24,27,9.0,3,0.0,0
F,N,N,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,17767,11062,Medicine staff,2.0,37.0,2.0,2,18,48,4.0,30,3.0,3
F,Y,Y,0,225000.0,Working,Higher education,Civil marriage,House / apartment,11067,492,Sales staff,2.0,17.0,1.0,5,28,30,8.0,1,1.0,0
M,Y,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18318,923,Drivers,2.0,59.0,1.0,4,47,50,10.0,2,4.0,1
M,N,Y,0,247500.0,Commercial associate,Higher education,Civil marriage,House / apartment,15995,401,Core staff,2.0,11.0,1.0,6,42,43,5.0,1,0.0,2
M,Y,N,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17455,1321,Drivers,2.0,20.0,1.0,2,44,47,5.0,3,1.0,1
M,N,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,15634,158,Laborers,2.0,29.0,2.0,3,42,42,5.0,0,2.0,2
F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,14052,140,Sales staff,2.0,37.0,2.0,4,38,38,0.0,0,3.0,2
M,N,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,12703,3141,Laborers,4.0,18.0,1.0,1,26,34,3.0,8,1.0,0
F,N,N,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13791,1353,Accountants,4.0,6.0,2.0,3,34,37,3.0,3,0.0,2
F,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,15903,762,Sales staff,1.0,13.0,2.0,4,41,43,2.0,2,1.0,2
M,N,N,1,99000.0,Working,Secondary / secondary special,Single / not married,House / apartment,17876,5239,Laborers,2.0,1.0,1.0,5,34,48,7.0,14,0.0,3
