주소,행정동,위도,경도
서울특별시 강서구 등촌동 689번지,등촌3동,37.55996288,126.8403499
서울특별시 강서구 마곡동 797-10번지,가양1동,37.55983497,126.8352542
서울특별시 강서구 마곡동 808번지,발산1동,37.55734484,126.8361273
서울특별시 강서구 방화동 886번지,방화2동,37.56680937,126.8029551
서울특별시 강서구 염창동 20-85번지,염창동,37.55679526,126.8676876
서울특별시 강서구 염창동 259-2번지,염창동,37.54909595,126.8785742
서울특별시 강서구 염창동 260-7번지,염창동,37.54791959,126.878034
서울특별시 강서구 오곡동 1번지,공항동,37.55442843,126.7940305
서울특별시 강서구 오곡동 714번지,공항동,37.55690646,126.7850442
서울특별시 강서구 오쇠동 47번지,공항동,37.54538907,126.7980927
서울특별시 강서구 외발산동 424번지,발산1동,37.55289258,126.8187557
서울특별시 강서구 외발산동 426번지,발산1동,37.54711767,126.8184186
서울특별시 강서구 강서로 218 (화곡동),우장산동,37.545605,126.837261
서울특별시 강서구 화곡동 105-244번지,화곡본동,37.53930848,126.8436328
서울특별시 강서구 화곡동 346-46번지,화곡1동,37.53198298,126.8440323
서울특별시 강서구 화곡동 782-3번지,화곡4동,37.53102073,126.8635517
서울특별시 강서구 화곡동 836-14번지,화곡2동,37.53239392,126.857355
서울특별시 강서구 화곡동 957-10번지,화곡6동,37.55007808,126.8522085
서울특별시 강서구 화곡동 1110-3번지,화곡6동,37.55453445,126.8524541
서울특별시 강서구 화곡동 918-23번지,화곡1동,37.53024338,126.8446875
서울특별시 강서구 마곡동 766-1번지,가양1동,37.56697429,126.8294286
서울특별시 강서구 하늘길 70,공항동,37.5619976,126.7963649
강서구 하늘길 38(방화동),방화2동,37.57136985,126.8029604
강서구 공항대로71길 49(염창동),염창동,37.54951407,126.872808
강서구 화곡로18길 24(화곡동,화곡1동,37.53906639,126.835419
